proportion,top1_accuracy,top5_accuracy,brier_score
15%,12.427978217601776,31.7231684923172,0.004207550082355738
30%,16.013333201408386,39.399999380111694,0.004121186677366495
45%,19.859999418258667,46.560001373291016,0.004021636676043272
60%,23.78000020980835,53.60666513442993,0.003860810771584511
75%,30.366668105125427,63.77333402633667,0.0036026076413691044
90%,42.239999771118164,75.80000162124634,0.003096704138442874
