fraction,distractor_goal_mean,distractor_distractor_mean,baseline_goal_mean
0.10,0.00428804834439152,0.004712380952192241,0.007873924991032571
0.20,0.0029463956017515267,0.012892159241616815,0.005232306489433792
0.50,0.001522719244537341,0.00484657349212112,0.0074036072996392565
0.75,0.0023022387007464186,0.0033128980076881343,0.009642375175120595
0.90,0.0030515267785774904,0.010008848959622174,0.011146788891152153
1.00,0.0028279139074749425,0.002849125552108397,0.017633883841410822
